Month,INDUSTRYPMG
2007-07,122990
2007-08,132930
2007-09,118557
2007-10,139183
2007-11,127977
2007-12,103228
2008-01,119100
2008-02,108541
2008-03,121582
2008-04,125552
2008-05,126520
2008-06,119652
2008-07,118547
2008-08,110789
2008-09,113553
2008-10,112627
2008-11,110250
2008-12,125763
2009-01,124258
2009-02,120508
2009-03,136314
2009-04,142839
2009-05,152486
2009-06,162097
2009-07,146056
2009-08,177124
2009-09,146452
2009-10,169921
2009-11,145952
2009-12,141688
2010-01,174999
2010-02,125651
2010-03,194055
2010-04,170960
2010-05,169506
2010-06,181902
2010-07,188189
2010-08,180155
2010-09,180158
2010-10,199736
2010-11,184918
2010-12,189469
2011-01,183866
2011-02,171606
2011-03,202484
2011-04,192302
2011-05,199375
2011-06,215953
2011-07,
2011-08,
2011-09,
2011-10,
2011-11,
2011-12,
2012-01,
2012-02,
2012-03,
2012-04,
2012-05,
2012-06,
2012-07,
2012-08,
2012-09,
2012-10,
2012-11,
2012-12,
2013-01,
2013-02,
2013-03,
2013-04,
2013-05,
2013-06,
2013-07,
2013-08,
2013-09,
2013-10,
2013-11,
2013-12,
2014-01,
2014-02,
2014-03,
2014-04,
2014-05,
2014-06,
2014-07,
2014-08,
2014-09,
2014-10,
2014-11,
2014-12,
2015-01,
2015-02,
2015-03,
2015-04,
2015-05,
2015-06,
2015-07,416604
2015-08,472339
2015-09,499858
2015-10,516758
2015-11,403928
2015-12,465136
2016-01,431358
2016-02,448021
2016-03,558244
2016-04,506421
2016-05,564153
2016-06,516220
2016-07,543746
2016-08,544553
2016-09,576164
2016-10,571177
2016-11,534302
2016-12,545333
2017-01,557018
2017-02,515031
2017-03,577841
2017-04,583162
2017-05,627456
2017-06,575854
2017-07,625611
2017-08,695170
2017-09,649989
2017-10,633564
2017-11,577902
2017-12,614696
2018-01,601499
2018-02,541777
2018-03,611602
2018-04,672089
2018-05,651442
2018-06,628864
2018-07,635049
2018-08,633370
2018-09,706075
2018-10,637732
2018-11,570688
2018-12,620982
2019-01,628093
2019-02,626919
2019-03,663094
2019-04,694667
2019-05,648961
2019-06,621032
2019-07,673133
2019-08,655417
2019-09,657356
2019-10,692921
2019-11,601427
2019-12,662747
2020-01,603674
2020-02,564773
2020-03,557872
2020-04,437106
2020-05,663092
2020-06,740799
2020-07,767503
2020-08,726873
2020-09,664732
2020-10,708398
2020-11,717257
2020-12,698575
2021-01,657772
2021-02,643450
2021-03,703389
2021-04,686065
2021-05,750170
2021-06,788937
2021-07,10000000
